,Speeded IP,Strategic IP,Discounting,Perc / Resp,Caution
columbia_card_task_cold.probability_sensitivity,-0.13231647707432243,-0.16128244553584825,0.005045687671486278,-0.013969189373889447,0.10411369977175845
columbia_card_task_hot.avg_cards_chosen,-0.08180207209170925,-0.05326501035784808,0.020161044193848284,-0.09387082903715453,-0.08381983774817538
columbia_card_task_hot.gain_sensitivity,-0.05348314435573547,0.3494289964280006,0.05870231603698142,-0.04349665565728744,-0.07743961132035726
columbia_card_task_hot.information_use,0.1015371856933699,0.4149983790144112,0.014105701080207027,-0.07977335196747054,-0.007882582594048143
columbia_card_task_hot.loss_sensitivity,-0.0010783288560426672,-0.3898683328444654,-0.07365658229901187,0.028225094393308107,-0.02259185102829004
columbia_card_task_hot.probability_sensitivity,-0.032486691266529893,-0.30498119910974447,-0.04515069151095025,0.12191032148441422,0.0013571837991308983
dietary_decision.health_sensitivity,-0.07542397059784402,-0.04767701465505461,-0.09353501505644339,-0.014026748486767094,0.02694482019846976
dietary_decision.taste_sensitivity,0.23960729412317827,0.14431376139175156,-0.01756343286279938,-0.02471931821456588,0.014912916142304965
digit_span.forward_span,0.12854899854353605,0.30626991275948023,-0.06842122038745412,0.009100027500726637,0.05819833499567106
digit_span.reverse_span,0.16321117858999135,0.34904859674727906,-0.0699239387589627,-0.007214071345872687,0.08134506348912132
directed_forgetting.hddm_drift,0.6274388528407164,0.1998915261104096,-0.0011247789486015796,-0.03211782989448041,-0.07894232635140752
directed_forgetting.hddm_non_decision,0.2606591187435199,-0.069359076366278,-0.055132463225703594,0.4258260268514928,0.07036688303128424
directed_forgetting.hddm_thresh,-0.0032726171318955555,0.23255487063020713,-0.07131444749634148,0.027660811400999213,0.39993755109451595
directed_forgetting.proactive_interference_hddm_drift,0.17776433937418593,0.07809983532849225,-0.016765844033716296,-0.015320675576396285,-0.002497480632702536
discount_titrate.percent_patient,0.03225010565515976,0.05396104454570647,-0.7366960854165749,-0.03246641228025933,-0.03502350052358909
dot_pattern_expectancy.AY-BY_hddm_drift,-0.2285769904940424,-0.09907963207643375,0.016865055403537995,-0.06580565842530398,0.15502028439137522
dot_pattern_expectancy.BX-BY_hddm_drift,0.21560865731593493,-0.0010030516061719577,-0.028910902934135133,0.057100454898471376,-0.05987943728625691
dot_pattern_expectancy.bias,0.3824144498221267,0.051992366765461505,-0.03334510363823956,0.13529460359079257,-0.1834698872247807
dot_pattern_expectancy.dprime,0.6343854726394934,0.13351905062090372,-0.002307759399666125,0.049737588461362364,-0.09156685501725091
dot_pattern_expectancy.hddm_drift,0.6874184069705184,0.19429207915230745,0.01431667971719077,0.05339464797850718,-0.12479982205331723
dot_pattern_expectancy.hddm_non_decision,0.2553792966550301,-0.186591753636969,0.027181903893178833,0.16290296686067107,0.016826694120753646
dot_pattern_expectancy.hddm_thresh,0.2510532631861517,0.20326765484034554,0.08671850358145243,0.11465854968419366,0.1866460188739265
go_nogo.bias,-0.04007267576325069,-0.08332365153969654,0.03219290906092644,0.021134373377115573,0.38488768966995324
go_nogo.dprime,0.5394572211431076,-0.034617468982994865,0.04052629899089259,-0.033056334481136165,0.1863676535994296
hierarchical_rule.score,0.3321987195791219,0.2556788796881237,-0.08020500749495814,-0.0758557568218354,0.010605633908838176
holt_laury_survey.beta,0.08796714231491509,-0.09528191420198656,0.007216100292702949,0.02723258367505056,-0.04729287843767775
holt_laury_survey.risk_aversion,0.03415514950543903,-0.11761276266670956,0.07097053269186418,0.01720862008064213,-0.055996582974974556
holt_laury_survey.safe_choices,0.07667972508198698,-0.1011335649412291,0.1010678498993604,0.07821293576073512,-0.02540997065179492
information_sampling_task.Decreasing_Win_P_correct,0.16656940748220384,0.06304838342848519,0.025955404659415586,0.08712327462959067,0.08270499874962677
information_sampling_task.Decreasing_Win_motivation,-0.30615119852842637,0.19709635974635017,0.05539661344095144,-0.2740162324313514,-0.04452553284422173
information_sampling_task.Fixed_Win_P_correct,0.23398573536663728,0.3720146916219465,0.013416176351479427,0.02777948515256882,0.06701424538658513
information_sampling_task.Fixed_Win_motivation,-0.2753339872127054,0.3257483527280299,0.08705661884203732,-0.29830239810126813,-0.07667054653762176
keep_track.score,0.1246154990916095,0.3286505423864354,-0.06339964044088184,-0.0890149537267884,0.0017651219872793084
kirby.hyp_discount_rate_large.logTr,-0.02235223829624656,0.006661971607386246,0.9206049895554377,0.009065541638494445,-0.006511486142434673
kirby.hyp_discount_rate_medium.logTr,0.012162503774186387,-0.0018855231378647197,0.9250935889954753,0.002928822860396004,-0.01291332317971948
kirby.hyp_discount_rate_small.logTr,0.02994494137313891,0.06191112681139277,0.9419453157650554,0.0018925958121213619,0.014494571614854127
kirby.percent_patient,0.010760950490429752,0.0262652122208073,-0.9705960414520045,0.010160612833067002,0.025982472249080426
local_global_letter.conflict_hddm_drift,0.043652785011630266,0.07794122030956158,0.004266382610750038,0.11677195511379947,0.2697815357570529
local_global_letter.global_bias_hddm_drift,0.14330517549301638,0.012530489670210256,0.033467942845710405,-0.042258232587986014,0.05120367235948573
local_global_letter.hddm_drift,0.34426491313502794,0.32966480762088707,-0.052173172604846114,-0.108615716407913,-0.019351898339361972
local_global_letter.hddm_non_decision,0.1946131586468104,0.08061707194625263,-0.019128644428762782,0.37536701243396353,0.1966134589773413
local_global_letter.hddm_thresh,0.009802118540927607,0.2619269880423438,0.03038817929366878,0.07085012827967482,0.48930842902538785
local_global_letter.switch_cost_hddm_drift,-0.16726352323281124,-0.08425599011326632,0.004701765461806385,-0.1697059857321054,0.0631205544332629
motor_selective_stop_signal.SSRT,-0.22081554322513458,0.054348803709292404,-0.0017292837520784922,0.5147984643813365,-0.10543292548852953
motor_selective_stop_signal.hddm_drift,0.5941432128242684,-0.046875889201555485,-0.007792347871660219,-0.11550661720555178,0.24849322247643907
motor_selective_stop_signal.hddm_non_decision,0.02661169415848627,-0.03201056595737283,0.04097929203894221,0.5656198970107079,-0.07340036524587865
motor_selective_stop_signal.hddm_thresh,0.16986182122340593,-0.0827841424278195,-0.04396600817472279,-0.11599294752563051,0.4746751996463388
motor_selective_stop_signal.proactive_control_hddm_drift,-0.31941230954834265,0.015344278160667586,0.03972641443541545,0.21445502299612318,-0.02376123869369431
motor_selective_stop_signal.reactive_control_hddm_drift,-0.12613979166219014,0.0069372394448846166,0.03954418080534251,-0.17411441303918057,0.02841925007488194
probabilistic_selection.positive_learning_bias,-0.0007972445552468649,0.08337977926546482,0.032106293496263635,-0.0738183109834806,0.022803323799164204
psychological_refractory_period_two_choices.PRP_slope,-0.11115846790059636,-0.14182093791436737,-0.024933957446931054,0.2700170058678038,0.31894583845132846
ravens.score,0.3109865162341995,0.5300640343067191,-0.11786610800614651,0.046981444429222044,-0.046729079758889694
recent_probes.hddm_drift,0.5671950575293606,0.20822266013442278,-0.007589277748220079,-0.037481539312931134,-0.11970870815004367
recent_probes.hddm_non_decision,0.11253181363325845,0.009859567715021585,-0.02765525803766676,0.44082347205522143,0.2173479858054031
recent_probes.hddm_thresh,-0.14968136812930877,0.12979603563685532,0.01677956509534031,0.029052215762712497,0.3966956632474871
recent_probes.proactive_interference_hddm_drift,-0.17827360542549944,0.03564582014115892,0.011074863668176277,0.04198331430912372,0.05455062652364249
shape_matching.hddm_drift,0.6473279350845745,0.022379395757288853,-0.00591949343216552,-0.015732545558226813,0.03525490383896204
shape_matching.hddm_non_decision,0.12873483994473714,-0.10119993964431127,0.04390534095688135,0.5073903183786945,0.19618814558746997
shape_matching.hddm_thresh,-0.030959684747092098,0.07525060351017313,0.008242230820872878,0.010972871293837783,0.574274930151908
shape_matching.stimulus_interference_hddm_drift,-0.46092479011048715,0.13001598887618776,-0.0401737001873964,0.0348762879255812,0.20961764216193843
shift_task.acc,0.18245098923965858,0.2910745517713683,-0.09129893651946192,-0.0949229978012866,0.023428770107194935
shift_task.learning_rate,0.1502307528275076,0.29599579414065313,-0.09665544497409936,-0.05138003113327292,-0.012237551046988704
shift_task.learning_to_learn,0.13180146079741645,-0.025712168185579344,0.007432798423317342,-0.014759554441292956,-0.003549748422005474
shift_task.model_beta,0.10991416490410043,0.1759939101151143,0.006036917790279788,0.042703738883546685,0.03483214532721045
shift_task.model_decay,0.14878717111860942,-0.15217897198626762,0.08458434579702916,-0.024893411253468823,0.10223333817338681
shift_task.model_learning_rate,0.1711569978123404,0.04906127927348739,-0.005519401461025435,-0.12329620644722863,-0.02777738685735614
simon.hddm_drift,0.6647231020092387,0.01727861867437406,0.03488648609869522,-0.02512709894633522,0.08026792512792488
simon.hddm_non_decision,0.0635975595735986,-0.012068306617145357,0.07346242374573092,0.5344471714107497,0.10246812749614706
simon.hddm_thresh,-0.13366107538714173,0.002014603263295521,-0.03062566573110897,0.14589436185840754,0.5608695886650176
simon.simon_hddm_drift,-0.40124825015648335,0.17837190503268446,0.02918210135060383,0.03354748341548491,0.2868557600302158
simple_reaction_time.avg_rt,-0.39353776843216076,0.01896289361096773,0.037214189503272,0.44569685064576614,0.15143535982435696
spatial_span.forward_span,-0.06052754166787129,0.5610381951636768,-0.0352259409377323,-0.10437683153741872,-0.01576995641791623
spatial_span.reverse_span,-0.004317371916691737,0.5456710996714385,0.002412025040047701,-0.10792118172921637,0.055230660618452734
stim_selective_stop_signal.SSRT,-0.2271570877891212,-0.02947186467526245,-0.05357202018539684,0.5090536980511852,-0.17513084281938385
stim_selective_stop_signal.hddm_drift,0.6063653542119656,0.05026004065401665,-0.019132328438880124,-0.031082927619240374,0.14641108449471443
stim_selective_stop_signal.hddm_non_decision,0.0611709281071038,0.07368638222061435,0.02061409768828657,0.49087530349015307,0.0016812955663649265
stim_selective_stop_signal.hddm_thresh.logTr,0.194613810907044,-0.06505581146107536,0.03128891101331625,-0.17988727082950112,0.4404737134412524
stim_selective_stop_signal.reactive_control_hddm_drift,-0.4184771124812328,0.01621438261570235,0.10633992210991904,-0.21284434007427666,0.15021990374790745
stop_signal.SSRT_high,-0.2144181661507388,0.0031027964655088655,-0.03533048944588167,0.5733846280942927,-0.05828662291634562
stop_signal.SSRT_low,-0.22529096822720873,-0.0005526051497373938,0.02156937262941313,0.574839336096297,-0.06082837403636587
stop_signal.hddm_drift,0.6478629509472177,-0.044460677771313635,0.009356514794443436,-0.07208940228238883,0.22782156009291446
stop_signal.hddm_non_decision,0.10797006056788959,0.09062874052323246,0.07221170282754046,0.4427182524772389,0.13514778600073213
stop_signal.hddm_thresh,0.1298086896188013,-0.23033214905084398,-0.0196304875169597,-0.11615449573397292,0.4063583340993251
stop_signal.proactive_SSRT_speeding,-0.046157979533210096,0.004153143334721958,0.0452247278783511,0.11302441272497236,-0.03484372636016411
stop_signal.proactive_slowing_hddm_drift,0.014200016411430927,-0.03267268588842058,-0.01954693762519523,-0.009499379574681891,-0.05519592441285301
stop_signal.proactive_slowing_hddm_thresh,0.22133084774029077,-0.1422300725600128,-0.0560097967353982,-0.025244348257904944,0.06138974114706383
stroop.hddm_drift,0.5176864402902285,-0.04079603985507851,-0.056582159903377664,-0.10390125838393059,0.18532611371575694
stroop.hddm_non_decision,0.07655924251481641,-0.024400280878999536,0.11300640890302559,0.48373763278132614,0.12204960214923113
stroop.hddm_thresh,0.05166876266347156,-0.1004214655177613,-0.15865005366313012,-0.08885450167621833,0.48373209355121455
stroop.stroop_hddm_drift,-0.16229261278491244,0.08755132515536815,-0.050524408012782504,-0.014214124056478511,0.13489350377505846
threebytwo.cue_switch_cost_hddm_drift,-0.17252382693347626,-0.07460836860767989,-0.03405284667460548,-0.03136605163458958,0.003816998012482635
threebytwo.hddm_drift,0.6049080392900484,0.18835769479884137,-0.10253122576752281,-0.06618552904722372,0.025564215295202516
threebytwo.hddm_non_decision,0.452131551457141,0.14648428017469065,-0.007500453598281956,0.10375786901478695,-0.1183738484424939
threebytwo.hddm_thresh,-0.16830935223619448,0.034709087804680246,-0.045179896056072796,0.12429697114889227,0.520006205534064
threebytwo.task_switch_cost_hddm_drift,-0.14668970852077298,-0.09205970719630775,0.04030570649992786,0.07417944023827125,0.09995131245764778
tower_of_london.avg_move_time,0.17723983484868436,-0.4121964262234479,-0.035291456404199506,0.28741918462885263,0.16914983006719775
tower_of_london.num_extra_moves,-0.19709988658795016,0.1866598531995488,0.14306491428481063,-0.17253304478484033,-0.17179370665871085
tower_of_london.num_optimal_solutions,0.10702381475675686,0.3017121772550028,-0.05300614168428718,0.01845914000983201,-0.008925896642478632
tower_of_london.planning_time,0.1467428509192281,-0.22192504984891584,-0.06874900091198033,0.17914688274725804,0.19094850788768383
two_stage_decision.model_based,0.23079160709427204,0.38716184509454,-0.10985830485679736,0.07432298898879224,0.04675059453300786
two_stage_decision.model_free,0.12605020021905322,-0.2780198820961565,0.03327478639232638,-0.04199857654032699,0.06623266296891671
